Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","296","Kiribati","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","887.88","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","414","Koweït","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","55755","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","426","Lesotho","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","459.16","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","428","Lettonie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","33393","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","422","Liban","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","131136","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","430","Libéria","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","12858.58","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","434","Libye","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","120100.23","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","440","Lituanie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","126607","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","442","Luxembourg","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","269.9","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","807","Macédoine du Nord","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1716","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","450","Madagascar","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","49102.95","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","458","Malaisie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1598258.07","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","454","Malawi","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","130114","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","466","Mali","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","48000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","470","Malte","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3676","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","504","Maroc","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","550000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","480","Maurice","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","47500","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","478","Mauritanie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","4771.37","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","484","Mexique","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3211687","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","583","Micronésie (États fédérés de)","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","159.86","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","496","Mongolie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","220","E","Valeur estimée",""
"QCL","Cultures et produits animaux","499","Monténégro","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1669.96","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","508","Mozambique","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","88957.6","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","104","Myanmar","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1580848","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","516","Namibie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","11493.9","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","520","Nauru","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","4.03","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","524","Népal","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","57268","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","558","Nicaragua","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","142712.44","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","562","Niger","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","18475.41","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","566","Nigéria","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","257728.95","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","570","Nioué","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","23.35","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","578","Norvège","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","90944","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","540","Nouvelle-Calédonie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","880","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","554","Nouvelle-Zélande","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","220983","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","512","Oman","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","6434.23","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","800","Ouganda","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","88738.37","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","860","Ouzbékistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","74800","X","Chiffre de source externe","Chiffre non officiel"
"QCL","Cultures et produits animaux","586","Pakistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1276000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","275","Palestine","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","52414.9","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","591","Panama","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","198136","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","598","Papouasie-Nouvelle-Guinée","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","6443.53","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","600","Paraguay","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","65890","E","Valeur estimée",""
"QCL","Cultures et produits animaux","528","Pays-Bas (Royaume des)","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1034319","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","604","Pérou","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1464548","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","608","Philippines","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1278081.59","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","616","Pologne","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1472701.84","E","Valeur estimée",""
"QCL","Cultures et produits animaux","258","Polynésie française","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","615.45","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","630","Porto Rico","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","34272.57","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","620","Portugal","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","317918","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","634","Qatar","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","15000","X","Chiffre de source externe","Chiffre non officiel"
"QCL","Cultures et produits animaux","760","République arabe syrienne","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","122180","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","140","République centrafricaine","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","6006.44","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","410","République de Corée","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","766800","X","Chiffre de source externe","Chiffre non officiel"
"QCL","Cultures et produits animaux","498","République de Moldova","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","44439","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","180","République démocratique du Congo","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","10314","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","418","République démocratique populaire lao","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","28441.68","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","214","République dominicaine","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","338636.8","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","408","République populaire démocratique de Corée","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","29945.04","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","834","République-Unie de Tanzanie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","63597","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","642","Roumanie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","436040","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","826","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1660000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","646","Rwanda","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","18215.62","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","662","Sainte-Lucie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1394.13","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","659","Saint-Kitts-et-Nevis","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","12.62","A","Chiffre officiel",""
